date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2016-08-17,12400,6161,6239,4858,3483,1375,0.494236311239,0.453344817686,0.597818181818
2016-08-16,12030,5777,6253,4601,3132,1469,0.485111932189,0.442848020434,0.575221238938
2016-08-15,11729,5744,5985,4664,3092,1572,0.503216123499,0.462483829237,0.583333333333
2016-08-14,10458,5005,5453,4037,2565,1472,0.522913054248,0.467056530214,0.620244565217
2016-08-13,9820,5336,4484,4192,2756,1436,0.507872137405,0.456458635704,0.606545961003
2016-08-12,11842,5827,6015,4684,3059,1625,0.511101622545,0.46878064727,0.590769230769
2016-08-11,12128,5855,6273,4773,3076,1697,0.508275717578,0.45156046814,0.6110783736
2016-08-10,12236,5975,6261,4764,3157,1607,0.509026028547,0.45707950586,0.611076540137
2016-08-09,11214,5285,5929,4291,2759,1532,0.510836634817,0.458137006162,0.605744125326
2016-08-08,12591,5884,6707,4932,3145,1787,0.50304136253,0.449284578696,0.597649692222
2016-08-07,10531,5056,5475,3922,2567,1355,0.528046914839,0.483443708609,0.612546125461
2016-08-06,11119,5390,5729,4318,2784,1534,0.506484483557,0.45617816092,0.59778357236
2016-08-05,12334,5775,6559,5015,3117,1898,0.521036889332,0.464870067372,0.613277133825
2016-08-04,12529,5998,6531,5037,3198,1839,0.506650784197,0.446216385241,0.611745513866
2016-08-03,11749,6013,5736,4779,3180,1599,0.499058380414,0.438993710692,0.618511569731
2016-08-02,10538,5869,4669,4568,3036,1532,0.496278458844,0.444005270092,0.599869451697
2016-08-01,12692,5857,6835,4830,3174,1656,0.491718426501,0.444549464398,0.582125603865
2016-07-31,10182,4955,5227,3985,2627,1358,0.483312421581,0.43205177008,0.582474226804
2016-07-30,11001,5261,5740,4110,2738,1372,0.497080291971,0.448867786706,0.593294460641
2016-07-29,11888,5635,6253,4611,3056,1555,0.49642160052,0.449607329843,0.588424437299
2016-07-28,12457,5657,6800,4692,3062,1630,0.519394714408,0.467668190725,0.616564417178
2016-07-27,11811,5722,6089,4780,3171,1609,0.504393305439,0.450015767897,0.61155997514
2016-07-26,11570,5727,5843,4673,3196,1477,0.518082602183,0.47590738423,0.609343263372
2016-07-25,11877,5800,6077,4786,3289,1497,0.507939824488,0.452417148069,0.629926519706
2016-07-24,10231,4971,5260,3977,2655,1322,0.518984158914,0.466666666667,0.624054462935
2016-07-23,9962,5145,4817,4050,2861,1189,0.513086419753,0.472562041244,0.610597140454
2016-07-22,11853,5621,6232,4553,3024,1529,0.518559191742,0.457341269841,0.639633747547
2016-07-21,12147,6009,6138,4800,3251,1549,0.504583333333,0.443248231313,0.633311814074
2016-07-20,12391,5692,6699,4577,3090,1487,0.524797902556,0.480258899676,0.617350369872
2016-07-19,12254,5669,6585,4858,3178,1680,0.531494442157,0.477658904972,0.633333333333
2016-07-18,11421,5445,5976,4509,2988,1521,0.524284763806,0.481593038822,0.608152531229
2016-07-17,9874,4836,5038,3768,2558,1210,0.519904458599,0.478889757623,0.606611570248
2016-07-16,10041,4971,5070,3974,2684,1290,0.517866129844,0.463114754098,0.631782945736
2016-07-15,9333,5061,4272,4285,2822,1463,0.519719953326,0.467399007796,0.620642515379
2016-07-14,11997,5461,6536,4635,2980,1655,0.523624595469,0.477516778523,0.60664652568
2016-07-13,12635,6120,6515,4979,3294,1685,0.517573810002,0.455373406193,0.639169139466
2016-07-12,11975,5671,6304,4643,3021,1622,0.526383803575,0.474677259186,0.622688039457
2016-07-11,11975,5926,6049,4801,3189,1612,0.544053322225,0.495139542176,0.640818858561
2016-07-10,10162,4894,5268,3984,2562,1422,0.525602409639,0.462919594067,0.638537271449
2016-07-09,10331,5058,5273,4079,2704,1375,0.547192939446,0.497041420118,0.645818181818
2016-07-08,10916,5242,5674,4387,2937,1450,0.527011625256,0.482465100443,0.61724137931
2016-07-07,8989,5503,3486,4667,3094,1573,0.538675808871,0.484809308339,0.644628099174
2016-07-06,11809,5775,6034,4770,3128,1642,0.53857442348,0.497442455243,0.616930572473
2016-07-05,11480,5565,5915,4701,3102,1599,0.517549457562,0.466795615732,0.616010006254
2016-07-04,11069,5431,5638,4684,3022,1662,0.522843723313,0.460291197882,0.636582430806
2016-07-03,9488,4787,4701,4073,2697,1376,0.538423766266,0.483500185391,0.646075581395
2016-07-02,9439,4902,4537,4038,2702,1336,0.530708271421,0.481865284974,0.629491017964
2016-07-01,10773,5193,5580,4514,2956,1558,0.532786885246,0.475304465494,0.641848523748
2016-06-30,10711,5255,5456,4526,2900,1626,0.540653999116,0.482068965517,0.645141451415
2016-06-29,10612,5021,5591,4511,2833,1678,0.51895366881,0.461701376633,0.615613825983
2016-06-28,10069,4835,5234,4196,2659,1537,0.484985700667,0.427228281309,0.584905660377
2016-06-27,10039,5010,5029,4262,2743,1519,0.497653683717,0.449507838133,0.584595128374
2016-06-26,8849,4256,4593,3581,2294,1287,0.492041329238,0.447689625109,0.571095571096
2016-06-25,8866,4522,4344,3822,2480,1342,0.497383568812,0.44314516129,0.597615499255
2016-06-24,9369,4320,5049,3927,2428,1499,0.508530685001,0.453047775947,0.598398932622
2016-06-23,10122,4649,5473,4155,2531,1624,0.497954271961,0.448834452785,0.574507389163
2016-06-22,10659,4895,5764,4470,2738,1732,0.478523489933,0.418553688824,0.573325635104
2016-06-21,9889,4792,5097,4082,2542,1540,0.496815286624,0.44807238395,0.577272727273
2016-06-20,9448,4665,4783,4290,2682,1608,0.502331002331,0.443325876212,0.600746268657
2016-06-19,7999,4021,3978,3623,2232,1391,0.495169748827,0.448476702509,0.570093457944
2016-06-18,7797,4102,3695,3579,2319,1260,0.479463537301,0.435532557137,0.560317460317
2016-06-17,8705,4311,4394,3978,2460,1518,0.486425339367,0.432926829268,0.573122529644
2016-06-16,9850,4543,5307,4232,2570,1662,0.506852551985,0.449027237354,0.596269554753
2016-06-15,9433,4463,4970,4152,2484,1668,0.500240847784,0.427938808374,0.607913669065
2016-06-14,9453,4562,4891,4259,2560,1699,0.505987320967,0.4375,0.609181871689
2016-06-13,9337,4499,4838,4251,2589,1662,0.499647141849,0.434530706837,0.601083032491
2016-06-12,8856,4266,4590,3975,2389,1586,0.496603773585,0.430724152365,0.595838587642
2016-06-11,8166,4006,4160,3645,2200,1445,0.502606310014,0.440454545455,0.59723183391
2016-06-10,7799,4029,3770,3628,2259,1369,0.502756339581,0.441345728198,0.604090577064
2016-06-09,7328,3628,3700,3330,2016,1314,0.522522522523,0.465277777778,0.610350076104
2016-06-08,8987,4236,4751,4085,2313,1772,0.508445532436,0.437527021185,0.601015801354
2016-06-07,9824,4643,5181,4359,2504,1855,0.505161734343,0.422923322684,0.616172506739
2016-06-06,10319,5345,4974,4692,2897,1795,0.515771526002,0.4532274767,0.616713091922
2016-06-05,8739,4674,4065,4116,2532,1584,0.528425655977,0.475908372828,0.612373737374
2016-06-04,8847,4713,4134,4236,2615,1621,0.518885741265,0.466921606119,0.602714373843
2016-06-03,9884,5326,4558,4682,2944,1738,0.515378043571,0.459578804348,0.609896432681
2016-06-02,11382,5605,5777,5221,3075,2146,0.52595288259,0.466016260163,0.611835973905
2016-06-01,11033,5466,5567,5061,2977,2084,0.52380952381,0.467920725563,0.603646833013
2016-05-31,10929,5621,5308,5283,3189,2094,0.526784024229,0.466290373158,0.618911174785
2016-05-30,11644,5922,5722,5277,3240,2037,0.460488914156,0.417592592593,0.528718703976
2016-05-29,9442,4812,4630,4170,2576,1594,0.456594724221,0.40450310559,0.540777917189
2016-05-28,9625,4665,4960,4201,2561,1640,0.432516067603,0.390081999219,0.498780487805
2016-05-27,10457,5186,5271,4720,2874,1846,0.531991525424,0.485734168406,0.604008667389
2016-05-26,10648,5460,5188,4955,3049,1906,0.561049445005,0.50803542145,0.645855194124
